meanR,meanG,meanB,meanS,meanV,stdR,stdG,stdB,stdS,stdV,clase
10.407491,15.452398,7.20509,83.679993,87.997091,16.61385,25.282135,24.412705,54.545482,50.874439,no_fuego
6.494,13.6259,31.4448,136.693,112.5438,16.9777,34.8892,78.8001,63.3347,63.1397,fuego
25.795,22.3436,20.88,90.686,124.9866,58.6939,50.7178,47.4793,48.8153,67.7652,humo
23.5306,20.9852,18.7222,86.419,81.7183,52.0388,46.3894,41.7817,66.1498,65.7869,humo
3.918053,4.954103,4.935945,105.931391,96.618063,11.75971,12.446774,12.846176,86.949762,75.525641,no_fuego
0.4207,0.7411,1.1475,80.9084,132.892,5.8984,10.2282,15.7748,59.5987,56.6174,fuego
3.74312,6.405277,7.427255,102.234983,114.147717,10.431507,16.988594,18.617698,64.147317,50.158437,no_fuego
0.7485,0.8947,1.2168,159.7368,158.5916,4.8102,5.8849,7.8899,41.6294,58.8361,no_fuego
14.7283,14.4888,15.6671,83.5088,91.2369,43.6867,42.8911,46.3292,43.9618,52.8962,humo
56.2693,66.0345,70.5339,81.8342,119.5191,63.9096,74.705,80.2168,52.2433,51.1534,humo
32.9759,34.1351,35.5128,90.7142,102.6969,59.6009,61.4634,63.8142,64.4493,62.3731,humo
1.7518,5.2476,9.1581,119.8422,114.1214,9.0103,25.6643,44.3234,64.0228,49.5463,fuego
3.0105,3.4365,4.3819,46.2556,139.3746,9.0002,10.2625,13.023,38.6166,55.5049,no_fuego
3.701957,3.471973,3.504109,46.716925,145.834613,10.145638,10.349933,11.073086,39.27193,65.042156,no_fuego
0.0148,0.0145,0.0155,41.3555,145.9562,0.8293,0.8144,0.872,19.8026,56.4914,no_fuego
4.846529,7.239977,7.955535,142.350579,110.036616,11.293215,18.044339,19.266576,61.859006,61.209576,no_fuego
0.2372,0.4645,0.7359,208.9329,133.0103,2.1553,4.0997,6.2436,22.9063,41.3367,no_fuego
64.856562,59.684875,59.248349,61.614414,112.375773,68.739714,67.899034,69.258962,48.690648,53.659979,humo
8.3647,12.4084,13.4922,77.1078,105.5429,15.0187,22.0961,24.0787,52.7666,55.9734,no_fuego
6.433056,8.469402,8.861143,117.012275,124.791813,9.125722,18.855505,18.493044,57.451649,61.092831,no_fuego
4.753003,8.692069,8.209756,73.217734,127.213754,12.330318,20.732477,18.885746,56.585508,53.829934,no_fuego
64.459259,60.173453,66.243026,38.287754,115.636328,68.371461,71.483639,73.457301,33.304853,48.054757,humo
3.006495,8.038948,17.803604,76.199641,135.98635,11.417091,28.130771,61.641894,77.170797,51.707337,fuego
12.11776,13.39457,11.389019,88.230104,88.653184,39.472166,39.800674,33.996551,51.701237,57.753117,humo
3.9493,3.7385,3.3297,53.9629,146.4633,11.831,11.2622,10.1009,39.3925,66.5506,no_fuego
75.751337,77.445954,78.943721,73.344919,127.574359,72.729369,72.432053,73.499947,72.105285,52.135,humo
0.834289,1.552958,2.86799,80.897334,109.962148,9.270751,15.778891,26.078676,52.862127,55.578873,fuego
79.803091,79.967049,80.434517,76.199641,135.98635,71.006807,70.712562,71.01188,77.170797,51.707337,humo
4.096432,6.497209,7.371068,120.71398,112.701011,10.849696,16.794419,18.702568,63.935472,56.406836,no_fuego
2.514315,6.521212,10.932935,74.262571,128.782569,9.396388,22.116523,51.82956,63.320875,53.872459,fuego
79.02632,78.769839,96.268159,47.824746,145.998435,74.971523,75.928006,89.166949,29.283314,65.06632,humo
112.5705,112.9387,114.2621,50.0931,138.555,73.2865,73.628,74.7582,71.134,56.7321,humo
37.9975,38.8791,40.2264,80.8254,112.8932,67.3185,68.6494,71.3005,60.9049,81.6731,humo
1.1985,2.2468,3.3899,197.3886,97.2504,4.246,7.5493,11.3675,46.5364,90.5683,no_fuego
11.2842,26.4619,64.963,139.373,157.4475,22.7017,43.7415,103.9984,66.4591,62.6712,fuego
14.5479,14.1907,14.1904,46.5604,70.0266,35.9663,35.0839,35.2938,53.7245,35.5102,humo
1.1155,1.9337,3.8401,50.0931,138.555,9.0738,15.0996,29.5355,71.134,56.7321,fuego
3.4465,5.5446,8.6984,64.7239,114.0399,17.1927,27.5956,43.1694,46.7387,43.4926,fuego
4.4127,8.7114,10.5704,149.2824,91.3019,8.5496,15.8841,18.7621,62.8768,61.5114,no_fuego
9.7542,12.9887,13.1872,46.0888,69.9572,15.568,20.2985,20.7559,52.9094,35.0412,no_fuego
0.839829,2.225461,2.348689,196.915955,134.410419,4.272669,7.181597,9.664055,41.678538,79.187433,no_fuego
4.932368,4.743832,6.229665,65.756133,125.508869,11.393371,12.890081,15.11952,37.69611,55.170374,no_fuego
9.834987,18.098057,33.581094,130.663388,156.771853,24.652339,46.936914,80.437767,43.10687,59.520694,fuego
51.9683,51.598,49.8529,76.4371,105.902,70.9371,70.1012,68.3867,58.6474,55.8625,humo
2.416281,6.661462,9.587132,90.020405,92.127942,10.488444,27.543565,53.124754,65.034293,63.497493,fuego
14.967,14.7315,15.9342,84.0162,91.2932,44.2241,43.4382,46.9317,44.3908,53.5475,humo
6.5409,14.5553,36.4682,148.446,107.8033,15.7083,35.1983,85.7567,60.9939,70.8929,fuego
3.1419,7.4163,13.3127,149.2824,91.3019,13.1372,29.8022,52.5539,62.8768,61.5114,fuego
0.868039,1.470688,2.026289,76.199641,135.98635,4.585537,7.068642,9.645858,77.170797,51.707337,no_fuego
2.497416,4.009855,4.169642,64.936895,114.113087,9.93336,16.041221,16.245816,47.36078,45.252317,no_fuego
29.9274,25.8682,33.3367,102.8812,142.4366,54.391,46.8151,62.3738,43.4097,68.0132,humo
1.521211,2.769445,7.602665,96.184863,81.789457,10.747154,18.289579,36.765196,66.201871,63.071633,fuego
1.124641,2.951783,5.015709,73.441902,127.529649,8.345911,19.597813,33.398458,61.970114,54.009408,fuego
7.8168,20.5622,37.3756,130.494,140.3401,19.1481,48.6007,86.9639,62.0417,58.3072,fuego
2.6811,2.5452,2.2239,54.9279,84.3056,10.0585,9.6565,8.9833,64.1818,52.0279,no_fuego
4.48948,4.623646,5.549434,112.014567,143.247071,10.676198,17.345662,16.666502,73.872819,49.995896,no_fuego
2.544507,3.685237,8.495467,78.754981,111.017147,14.045577,22.218023,39.293076,49.164853,56.712037,fuego
0.41546,0.605225,1.134232,72.083531,127.157234,5.790855,10.135287,14.617527,44.025816,52.023594,fuego
2.950967,1.894827,1.894501,46.350903,139.666053,8.99869,8.811436,11.942128,47.063501,52.791348,no_fuego
4.164392,5.897187,6.790545,72.117853,128.287148,9.451361,15.09958,14.375003,67.586119,56.545904,no_fuego
11.103485,14.095118,18.68361,142.632271,126.487344,35.190392,40.430906,37.185852,75.630737,65.57269,humo
1.891583,1.474677,2.942443,135.497785,113.181459,11.90287,10.775089,11.822277,49.86028,71.190546,humo
96.5993,96.6781,97.3683,52.957,144.7523,80.4824,79.5459,79.1524,50.1993,50.2704,humo
2.6868,4.6032,6.4765,91.3463,126.8077,15.4036,26.3241,36.8065,49.9844,56.4554,fuego
2.6847,4.292,8.591,77.1078,105.5429,14.171,22.2448,43.5715,52.7666,55.9734,fuego
4.838073,5.20428,7.229838,122.168164,118.41761,10.186145,14.758959,18.298251,48.584563,76.108589,no_fuego
79.89457,80.00136,80.540082,76.129846,135.909781,70.98386,70.688518,70.995532,77.173722,51.586217,humo
0.466678,0.522396,0.107669,42.050777,142.012874,6.046551,6.663903,13.560823,33.135254,56.225337,fuego
104.319,100.5171,97.2943,40.632,169.5722,94.1412,90.3246,87.6327,44.5224,63.3442,humo
2.975711,7.3195,9.665337,132.707159,90.876937,13.739165,28.503559,47.375231,60.259348,57.824346,fuego
8.347688,6.145394,5.997345,98.223087,112.153072,16.208827,12.522261,11.570041,64.722817,64.69538,no_fuego
108.038493,115.385712,118.737983,57.732579,161.662246,74.138705,76.752954,77.624028,55.388356,56.231726,humo
0.3589,0.3671,0.252,58.208,163.2865,3.9412,4.2285,2.9542,32.1245,49.5574,no_fuego
0.813199,1.305869,1.996352,44.619813,144.247267,8.221362,14.65274,25.517621,35.02373,50.196416,fuego
2.6149,3.4093,3.6562,129.8727,141.8745,8.7658,11.4177,12.1457,75.9771,70.613,no_fuego
1.026205,4.908394,5.512362,117.496389,116.351628,7.442234,23.093968,31.672532,61.924998,48.843954,fuego
1.505989,3.294201,3.931214,83.679993,87.997091,10.432923,21.675444,36.802928,54.545482,50.874439,fuego
3.786054,8.495978,6.924395,152.97039,94.1189,8.282697,13.496607,16.788673,55.794031,73.670032,no_fuego
13.0343,13.3144,14.989,73.9294,97.3964,35.3166,36.0942,40.79,51.2843,48.7225,humo
0.0018,0.0025,0.0026,34.1267,160.8545,0.2658,0.3829,0.3974,18.4451,32.4848,no_fuego
98.323875,107.631825,100.567156,46.656716,144.275359,73.968679,73.970186,78.89276,48.399426,50.985244,humo
1.170731,3.057244,6.923806,50.133828,138.890872,9.243742,16.558943,31.503307,55.866978,53.38237,fuego
0.1692,0.4156,0.8449,66.0843,126.4472,3.4607,6.999,13.5692,37.7655,49.7177,fuego
3.6764,5.9956,9.539,65.0837,114.2154,17.6221,28.6544,45.4273,47.6567,45.9011,fuego
6.489111,9.689549,8.440406,61.614414,112.375773,12.479176,19.469187,17.727066,48.690648,53.659979,no_fuego
0.009823,0.014146,0.014783,218.66452,134.737093,1.137563,1.103719,1.461513,21.137157,54.057019,humo
0.124,0.4559,0.7946,99.041,114.4992,2.2936,7.7274,13.3231,64.1795,50.5576,fuego
9.097873,14.154343,27.747165,108.934979,143.405668,24.707275,38.289851,80.96478,52.975671,67.188179,fuego
2.367275,3.966217,8.589937,85.251533,106.726581,13.123202,20.719611,41.301088,58.356033,54.982756,fuego
